ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150616_161415,Version1,5,100,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.69945699,0.745929241,0.710650998,14,55,26.4,3126.167,329.4788,196.89711,120.146416,1238.8423,5.275207,166.50934,4.200515,772.00256,23.376806,3619.1787,MenuId: 71 Starter: -no starter MainCourse: 3098 - Arroz Con Pollo-Betty Crockers Red Spoon Collection  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 40.0 DeliveryTime(min): 46,MenuId: 27374 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3092 - Arroz Con Garbanzos  Desert: 3000 - Apricot Nectar Salad  Cost: 36.0 DeliveryTime(min): 36,MenuId: 36933 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 1031 - Vegetable Chilli  Cost: 37.0 DeliveryTime(min): 29,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,135,46.4
20150616_161417,Version1,5,100,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.703162909,0.759219229,0.725251371,8,10,9,3009.4229,338.16962,145.7228,128.11871,1358.1311,2.7757125,111.26632,6.5062222,863.76935,24.629337,6059.353,MenuId: 83 Starter: -no starter MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 34,MenuId: 31684 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 1127 - Garlic Chicken with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 3093 - Arroz Con Leche  Cost: 13.0 DeliveryTime(min): 69,MenuId: 36942 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: 1007 - Chocolate Fudge  Cost: 10.0 DeliveryTime(min): 65,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,88,45.6
20150616_161419,Version1,5,500,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.728302538,0.802005529,0.758348453,50,55,52.2,3494.5518,362.9607,158.93004,162.75699,1653.5621,3.80967,211.8019,7.5700283,948.4802,30.674297,5133.3145,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 32.0 DeliveryTime(min): 30,MenuId: 26853 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3073 - Aromataic Cannellini Beans  Desert: 3063 - Arnaud's Creme Brulee  Cost: 14.0 DeliveryTime(min): 22,MenuId: 36976 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5001 - Big_bowl_of_red  Desert: 5011 - Amaretto Apples with Meringue  Cost: 13.0 DeliveryTime(min): 96,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,109,43.6
20150616_161430,Version1,5,500,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.735454023,0.793679357,0.765258634,48,58,52,2772.4348,349.82385,153.89252,83.3504,1021.001,3.4607773,235.0951,3.5102398,467.1092,19.15982,3576.1172,MenuId: 28 Starter: -no starter MainCourse: 3053 - Armenian Potato Salad with Red Onions and Green Pepper  Desert: 3042 - Arkansas German Baked Pancake  Cost: 11.0 DeliveryTime(min): 23,MenuId: 28326 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1270 - Lamb Grill with 1131 - Rice Pilaf Desert: 5011 - Amaretto Apples with Meringue  Cost: 22.0 DeliveryTime(min): 23,MenuId: 37340 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5008 - Aloha Chicken with 5003 - A Dilly-Of-An-Onion Bread Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 13.0 DeliveryTime(min): 69,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,96,35
20150616_161436,Version1,25,100,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.71422261,0.793655992,0.756907737,44,64,50.5,3231.773,353.31412,202.6274,118.721306,934.1668,3.0426826,255.68448,3.477475,792.9466,32.442593,3872.287,MenuId: 90 Starter: -no starter MainCourse: 3110 - Artichoke and Orange Salad  Desert: 3013 - Apricot Sour Cream Pie  Cost: 34.0 DeliveryTime(min): 30,MenuId: 13937 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 1270 - Lamb Grill with 1132 - Rice Pilaf with Mushrooms Desert: 3005 - Apricot Pear Tart  Cost: 29.0 DeliveryTime(min): 44,MenuId: 36623 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3074 - Aromatic and Crispy Duck  Desert: 1031 - Vegetable Chilli  Cost: 16.0 DeliveryTime(min): 71,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,101,55.2
20150616_161445,Version1,25,100,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.729738533,0.812331855,0.765959364,39,42,40.7,3944.6982,241.6906,294.80707,197.90092,1131.4495,6.425232,45.497147,4.028102,660.0653,27.619305,4982.166,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 23.0 DeliveryTime(min): 86,MenuId: 34749 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3098 - Arroz Con Pollo-Betty Crockers Red Spoon Collection  Desert: 5014 - Amish Sugar Cookies  Cost: 36.0 DeliveryTime(min): 57,MenuId: 37221 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1275 - Turkey Piccata with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 1000 - Lemon bars  Cost: 30.0 DeliveryTime(min): 27,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,111,58.2
20150616_161453,Version1,25,500,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.768404424,0.823900104,0.790958405,218,226,221.8,5864.509,399.23846,307.50763,340.2896,1155.0009,4.8950205,164.64143,6.807184,1117.3516,43.28164,7909.358,MenuId: 12 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3042 - Arkansas German Baked Pancake  Cost: 30.0 DeliveryTime(min): 57,MenuId: 29315 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 3015 - Apricot Sweet and Sour Pork  Desert: 3104 - Arroz Dulce  Cost: 15.0 DeliveryTime(min): 42,MenuId: 36657 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3077 - Aromatic Duck  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 11.0 DeliveryTime(min): 94,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 27.0 DeliveryTime(min): 30,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,95,49
20150616_161536,Version1,25,500,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.761086941,0.814129412,0.789368773,199,205,201.5,3251.3013,324.19882,205.55243,124.70132,1019.87067,4.475931,239.96439,6.6415534,791.29626,26.651815,4374.146,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 14.0 DeliveryTime(min): 45,MenuId: 33125 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3027 - Ardshane House Irish Stew  Desert: 3104 - Arroz Dulce  Cost: 23.0 DeliveryTime(min): 25,MenuId: 37146 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1269 - Herbed Pork Cutlets with 5005 - A Taste of Thailand Desert: 5011 - Amaretto Apples with Meringue  Cost: 13.0 DeliveryTime(min): 33,MenuId: 37381 Starter: -no starter MainCourse: 3110 - Artichoke and Orange Salad  Desert: - no desert  Cost: 19.0 DeliveryTime(min): 80,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,79,56.4
20150616_161415,Version2,5,100,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.728603244,0.824196041,0.794190031,12,32,16.7,2985.691,307.97192,184.37563,117.55836,1249.3485,3.3901193,96.15766,6.01674,509.5112,22.541203,7925.3984,MenuId: 100 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3042 - Arkansas German Baked Pancake  Cost: 22.0 DeliveryTime(min): 39,MenuId: 27053 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3080 - Aromatic Roast Duck  Desert: 3013 - Apricot Sour Cream Pie  Cost: 18.0 DeliveryTime(min): 85,MenuId: 37051 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1127 - Garlic Chicken with 1131 - Rice Pilaf Desert: 1000 - Lemon bars  Cost: 14.0 DeliveryTime(min): 26,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,76,54.2
20150616_161417,Version2,5,100,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.752701402,0.832927465,0.795379204,8,10,9,2791.187,256.8425,196.15651,114.02288,1205.4132,2.8695943,142.04048,5.79724,669.9122,26.872696,4721.918,MenuId: 100 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3042 - Arkansas German Baked Pancake  Cost: 27.0 DeliveryTime(min): 58,MenuId: 26888 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3074 - Aromatic and Crispy Duck  Desert: 5013 - Ambrosia Sorbet  Cost: 16.0 DeliveryTime(min): 31,MenuId: 36401 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3043 - Arkansas Goulash  Desert: 1000 - Lemon bars  Cost: 14.0 DeliveryTime(min): 35,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,79,49
20150616_161420,Version2,5,500,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.816011071,0.83323586,0.82657755,49,61,53,3305.2622,263.33817,221.46004,154.44649,1665.8016,3.0898054,92.3985,11.026038,746.77734,32.085293,4300.645,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 18.0 DeliveryTime(min): 45,MenuId: 14096 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 1275 - Turkey Piccata with 1132 - Rice Pilaf with Mushrooms Desert: 3021 - Arabic Honey Cake  Cost: 10.0 DeliveryTime(min): 33,MenuId: 36621 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3074 - Aromatic and Crispy Duck  Desert: 1000 - Lemon bars  Cost: 24.0 DeliveryTime(min): 21,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,74,51.6
20150616_161430,Version2,5,500,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.822474837,0.841457069,0.827823079,47,59,54.2,3526.662,369.64166,177.89778,151.4777,1136.5631,4.0934544,74.42147,5.35786,611.00415,23.159166,3694.5054,MenuId: 58 Starter: -no starter MainCourse: 3095 - Arroz Con Pollo  Desert: 3013 - Apricot Sour Cream Pie  Cost: 11.0 DeliveryTime(min): 55,MenuId: 25438 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1041 - Lasagna  Desert: 3036 - Arizona Pecan Chocolate Rum Pie  Cost: 16.0 DeliveryTime(min): 20,MenuId: 36876 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3101 - Arroz De Huaca  Desert: 5011 - Amaretto Apples with Meringue  Cost: 21.0 DeliveryTime(min): 93,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,70,57.8
20150616_161436,Version2,25,100,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.808155894,0.835852385,0.823003674,43,47,44.2,3648.454,398.12854,196.20534,150.7158,1594.113,3.5467048,141.58379,6.898515,693.3641,32.288425,3940.7488,MenuId: 2 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 3013 - Apricot Sour Cream Pie  Cost: 22.0 DeliveryTime(min): 47,MenuId: 32032 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 1270 - Lamb Grill with 5005 - A Taste of Thailand Desert: 3012 - Apricot Souffle  Cost: 10.0 DeliveryTime(min): 47,MenuId: 36721 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 1000 - Lemon bars  Cost: 15.0 DeliveryTime(min): 28,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,69,48.6
20150616_161446,Version2,25,100,0.8,10,0.001,0.7,1.00E-04,10,10,10,0,0.807130575,0.83751142,0.821752781,37,40,38.5,2609.9368,270.29413,149.65053,102.79053,1210.1512,2.783331,111.132866,7.0142865,621.1445,24.402683,3427.5493,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 14.0 DeliveryTime(min): 45,MenuId: 29395 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 3020 - Arabian Stew  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 23.0 DeliveryTime(min): 34,MenuId: 36866 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3100 - Arroz De Bacalhau  Desert: 5011 - Amaretto Apples with Meringue  Cost: 18.0 DeliveryTime(min): 45,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,77,49
20150616_161455,Version2,25,500,0.3,10,0.001,0.7,1.00E-04,10,10,10,0,0.833605826,0.846329987,0.840100205,214,226,218,2288.4844,236.80515,108.511894,104.52787,1021.2507,1.8924612,37.276356,4.2549973,520.93207,15.734531,3753.5386,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 18.0 DeliveryTime(min): 42,MenuId: 13427 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 5004 - A Mold of Roquefort  Desert: 3005 - Apricot Pear Tart  Cost: 14.0 DeliveryTime(min): 44,MenuId: 37121 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1269 - Herbed Pork Cutlets with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 1000 - Lemon bars  Cost: 15.0 DeliveryTime(min): 41,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,69,49.6
